,Articulo_Codigo,Articulo_Nombre,Grupo_Codigo,Grupo_Nombre,Subgrupo_Codigo,Subgrupo_Nombre
348,7536,CIDER L.DE MANZANAS M.VERDE B/25CL,58,CERVEZAS,8,CIDER
349,12810,CERVEZA DESPERADOS SANGRE BT33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
350,42527,CERVEZA AMSTEL ORO TOST.0% 33CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
351,81660,CERVEZA 1906 RESERVA 6X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
352,74143,CERVEZA AGUILA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
353,85490,CERVEZA AGUILA 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
354,88231,CERVEZA AGUILA S/FILTRAR BT.33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
355,85583,CERVEZA ORO BILBAO L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
356,42496,CERVEZA SAN MIGUEL MAGNA L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
357,87776,CERVEZA SAN MIGUEL MAGNA 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
358,19045,"CERVEZA MAHOU 0,0 TOST 6X1/4L",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
359,35389,CERVEZA SAN MIGUEL MANILA B.1/3L,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
360,9105,CERVEZA SAN MIGUEL ECO 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
361,33013,CERVEZA GRIMBERGEN PALE ALE BT,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
362,77227,CERVEZA MORT SUBITE BT.25CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
363,10569,CERVEZA KIRIN ICHIBAN BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
364,6815,CERVEZA BUDWEISER FR.8+2LT.33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
365,78884,CERVEZA MALQUERIDA BT.25CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
366,14798,CERVEZA AMSTEL ORO 10X33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
367,60829,CERVEZA MAHOU 5 EST 24LX33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
368,79506,"CERVEZA MOLENBIER 0,0% L/33CL",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
369,83010,CERVEZA MOLENBIER L/50CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
370,87805,"CERVEZA MOLENBIER 5,6º L/33 CL",58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
371,3389,CERVEZA ORO BILBAO 6X1/4L,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
372,10352,CERVEZA MAHOU SIN LATA 12X33  CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
373,88697,CERVEZA LA SALVE BOTXO BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
374,74145,CERVEZA LA SALVE SIMIRI BT 33 CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
375,6895,CERVEZA LA SALVE TXIRENE BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
376,12004,CERVEZA MAHOU CLASICA 12X 1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
377,31719,CERVEZA MAHOU IPA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
378,85585,CERVEZA MAHOU CLASICA L/50CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
379,7012,CERVEZA MAHOU 5 EST LT/50CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
380,87778,"CERVEZA ESTRELLA GAL 0,0% B/6X25 CL",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
381,89957,SIDRA THE GOOD CIDER A.DRY 33CL,58,CERVEZAS,8,CIDER
382,2331,SIDRA THE GOOD CIDER STRAW.33CL,58,CERVEZAS,8,CIDER
383,12081,CERVEZA BIDASSOA KASPER 33 CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
384,10442,CERVEZA BIDASSOA LARRUN 33 CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
385,7011,CERVEZA BIDASSOA AGIÑA 33 CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
386,87802,CERVEZA BIDASSOA GLUTEN FREE.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
387,81600,CIDER L.MANZANAS PACK 6*25CL,58,CERVEZAS,8,CIDER
388,85488,CERVEZA AMBAR ESP L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
389,81658,CERVEZA E.GALICIA P.PADRON 50CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
390,1805,CERVEZA AGUILA S/F B/4X33+VASO,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
391,15396,CERVEZA AMSTEL ORO 6BX33CL+COPA,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
